folder_name,final_category_pre_merge,source,notes
DNA_Ligation,Synthetic_Biology_Genetic_Engineering,content_verified_audit,Automated classifier labeled PCR_NucleicAcid; DNA fragment ligation is core synthetic biology / molecular cloning.
DNA_Methylomes,RNA_Sequencing_Epigenomics,content_verified_audit,
Detection_of_Cardiac_Markers,ELISA_Immunoassay,content_verified_audit,
Determination_of_Anthocyanin_Content,Phytochemical_Colorimetric_Assay,content_verified_audit,
Determination_of_Flavonoid_Content,Phytochemical_Colorimetric_Assay,content_verified_audit,
Diazepam,ELISA_Immunoassay,content_verified_audit,Automated classifier labeled Small_Molecule_Drug; the actual wet-lab protocol executed is a competitive ELISA.
Digital_Eloha,ELISA_Immunoassay,content_verified_audit,Enzyme-linked hybridization sandwich assay; classified under ELISA_Immunoassay based on enzyme-linked optical detection mechanism.
Digital_Isothermal_Cas13a_Assay,CRISPR_Based_Diagnostics,content_verified_audit,
Direct_elisa,ELISA_Immunoassay,content_verified_audit,
Distance_Based_Detection_Nucleic_Acid,PCR_NucleicAcid,content_verified_audit,Automated classifier labeled Clinical_Diagnostics_Newborn_Screening; primary assay technique is isothermal nucleic acid amplification (RT-LAMP).
Droplet_Antibiotic_MIC_Screen,Antimicrobial_Susceptibility_Testing,content_verified_audit,
Droplet_Scale_Estrogen,ELISA_Immunoassay,content_verified_audit,
EWOD_In_Vitro_Manipulation,Cell_Based_Assay,content_verified_audit,
Electrowetting_Realtime_Taqman_PCR,PCR_NucleicAcid,content_verified_audit,
Entrap_Conjugation,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Enzymatic_Assay,Enzyme_Kinetics_Screening,content_verified_audit,
Estimation_of_Ascorbic_Acid_Content,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estimation_of_DPPH_Free_Radical_Scavenging_Activity,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estimation_of_Hydrogen_Peroxide,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estimation_of_Lipid_Peroxides,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estimation_of_Total_Phenolic_Content,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estimation_of_Total_Soluble_Sugar,Phytochemical_Colorimetric_Assay,content_verified_audit,
Estradiol,ELISA_Immunoassay,content_verified_audit,Automated classifier labeled Small_Molecule_Drug; protocol is an on-chip chemiluminescent immunoassay.
Exact2_TCA_Incubate,Device_Fabrication_Protocol_Formalization,content_verified_audit,Automated classifier labeled Other; formalized protocol representation.
Exact_Yeast_Competent_Cells,Device_Fabrication_Protocol_Formalization,content_verified_audit,Automated classifier labeled Synthetic_Biology_Genetic_Engineering; primary document nature is ontology-formalized procedure.
FDG_Radiosynthesis_ofat,Chemistry_Synthesis_Purification_MS,content_verified_audit,Automated classifier labeled Other; radiochemical synthesis.
Fentanyl,ELISA_Immunoassay,content_verified_audit,
Flexible_Transparent_Fabrication,Device_Fabrication_Protocol_Formalization,content_verified_audit,
Fucosylation_Inhibition_DMF,Enzyme_Kinetics_Screening,content_verified_audit,Automated classifier labeled Chemistry_Synthesis_Purification_MS due to fucosylation keyword; protocol is an enzyme inhibition screening assay.
Glucose_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Glucose_Detection,Phytochemical_Colorimetric_Assay,content_verified_audit,
Glycosylation,Other,human_manual_validation,"Confirmed genuinely uncategorizable — cell-free biosynthesis platform, not an assay."
Hemagglutination,ELISA_Immunoassay,content_verified_audit,
Hepatotoxicity,Cell_Based_Assay,content_verified_audit,Automated classifier labeled Clinical_Diagnostics_Newborn_Screening due to keyword; actual protocol is a cell-based cytotoxicity screen.
Heroin,ELISA_Immunoassay,human_manual_validation,Competitive ELISA; verified via manual review round.
Human_Physiological_Fluids,Extraction_Purification,content_verified_audit,
Human_Plasma_Protein_Depletion,Extraction_Purification,content_verified_audit,
Husser_AIMS_Induction_BGL_SynBio,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Immunocytochemistry_Single_Cells,Cell_Based_Assay,content_verified_audit,
Immunoprecipitation,Immunoprecipitation,content_verified_audit,
Indirect_elisa,ELISA_Immunoassay,content_verified_audit,
Integrated_Mfselex,Aptamer_Selection_SELEX,content_verified_audit,
Jebrail_DMF_Proteomic_Processing,Omics_Proteomics,content_verified_audit,
Leal_Alves_Multiplex_Sorter_Strain_Development,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Lengen_Lentiviral,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Loop_Mediated_Isothermal_Amplification,PCR_NucleicAcid,content_verified_audit,
Lysosomal_Storage_Disease,Clinical_Diagnostics_Newborn_Screening,content_verified_audit,
Mage_Electrotransformation,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Mammalian_Cell_Culture_Platform,Cell_Based_Assay,content_verified_audit,
Maximize_Diagnostic_Tests,Clinical_Diagnostics_Newborn_Screening,content_verified_audit,
Microbial_Electroporation,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Minute_Mammalian_Tissue,Omics_Proteomics,content_verified_audit,
Moazami_World_to_Chip_DMF,Device_Fabrication_Protocol_Formalization,content_verified_audit,
Mobile_uMD_Duplex_dELISA,ELISA_Immunoassay,content_verified_audit,
Morphine,ELISA_Immunoassay,content_verified_audit,
Mselex_Aptamer_Selection,Aptamer_Selection_SELEX,content_verified_audit,
Multiplex_Newborn_Screening,Clinical_Diagnostics_Newborn_Screening,content_verified_audit,
NADH_Oxidoreductase,Enzyme_Kinetics_Screening,content_verified_audit,Automated classifier labeled Omics_Proteomics; actual assay is a continuous spectrophotometric enzyme kinetics assay.
Nance_Horan_Syndrome,RNA_Sequencing_Epigenomics,content_verified_audit,Automated classifier labeled Cell_Based_Assay; core workflow is spatial single-cell transcriptomic profiling.
Nucleic_Acid_Amplification,PCR_NucleicAcid,content_verified_audit,
Nucleic_Acid_Diagnostics,PCR_NucleicAcid,content_verified_audit,
Nucleosome_Immunoprecipitation,Immunoprecipitation,content_verified_audit,
Omics,RNA_Sequencing_Epigenomics,content_verified_audit,Automated classifier labeled Cell_Based_Assay; core workflow is single-cell RNA sequencing library construction.
Oxycodone,ELISA_Immunoassay,content_verified_audit,
PCR,PCR_NucleicAcid,content_verified_audit,
Particle_Based_Immunoassays,ELISA_Immunoassay,content_verified_audit,
Peptidisc_MSBA,Enzyme_Kinetics_Screening,content_verified_audit,Automated classifier labeled Other; enzyme kinetics / ATPase activity assay.
Picoliter_DNA_Sequencing,PCR_NucleicAcid,content_verified_audit,
Picoliter_Droplet_Manipulation,Device_Fabrication_Protocol_Formalization,content_verified_audit,
Pipette_DDPCR,PCR_NucleicAcid,content_verified_audit,
Plasma_Metabolomics,Chemistry_Synthesis_Purification_MS,content_verified_audit,Automated classifier labeled Omics_Proteomics; protocol is chemical derivatization and mass spectrometry preparation.
Point_Care_Testing,ELISA_Immunoassay,content_verified_audit,
Porous_Polymer_Monoliths,Extraction_Purification,content_verified_audit,
Protein_Extraction_Precipitation,Extraction_Purification,content_verified_audit,
Protein_Maldi_Stamping,Omics_Proteomics,content_verified_audit,
Proteomic_Processing,Omics_Proteomics,content_verified_audit,
Pyrosequencing,PCR_NucleicAcid,content_verified_audit,
Respiratory_RTQPCR,PCR_NucleicAcid,content_verified_audit,
Rubella_Infection_Detection,ELISA_Immunoassay,content_verified_audit,
SARS_Cov2_QPCR,PCR_NucleicAcid,content_verified_audit,Automated classifier labeled Clinical_Diagnostics_Newborn_Screening; primary assay technique is RT-qPCR.
Samlali_Hybrid_Microfluidics_Isoclone,Synthetic_Biology_Genetic_Engineering,content_verified_audit,Automated classifier labeled Chemistry_Synthesis_Purification_MS; protocol is single-cell clonal cell line development.
Sandwich_elisa,ELISA_Immunoassay,content_verified_audit,
Shih_Algae_Lipid_DMF_Screen,Extraction_Purification,content_verified_audit,Automated classifier labeled Other; lipid extraction and fluorometric screening.
Shih_DBS_DMF_Nesi_MS,Clinical_Diagnostics_Newborn_Screening,content_verified_audit,Automated classifier labeled Other; newborn screening.
Shih_DMF_Cell_Impedance_Sensing,Cell_Based_Assay,content_verified_audit,Automated classifier labeled Aerosol_Environmental due to 'sensing' keyword; actual assay is a cell-based impedance assay.
Shih_Versatile_DMF_Synbio,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Single_Cell_Analysis_and_Sorting,Cell_Based_Assay,content_verified_audit,
Single_Molecule_Array_Assay,ELISA_Immunoassay,content_verified_audit,
TNT_Explosive_Detection,Clinical_Diagnostics_Newborn_Screening,content_verified_audit,
TSH_Immunoassay,ELISA_Immunoassay,content_verified_audit,
Titration_Open_Surface,Dilution,content_verified_audit,
TriDrop_Electroporation,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Tridrop_Transfection,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
XPORT_ENTRAP,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Zika_Virus_Diagnostic,PCR_NucleicAcid,content_verified_audit,
abasiyanik2021_sars_cov2_saliva_detection,PCR_NucleicAcid,content_verified_audit,
abasiyanik_dpla_ddpcr_septic_shock,PCR_NucleicAcid,content_verified_audit,
ahmadi_2024_mab_discovery,Cell_Based_Assay,human_manual_validation,Verified via manual review round.
albayrak_digital_pla_rtddpcr,PCR_NucleicAcid,CONFLICT_NEEDS_HUMAN_DECISION,Human manual review: PCR_NucleicAcid; Content audit: RNA_Sequencing_Epigenomics.
bell_sperm_seq_library_generation,PCR_NucleicAcid,content_verified_audit,
chen_concentrator_droplet_mmp_assay,Enzyme_Kinetics_Screening,content_verified_audit,Automated classifier labeled Chemistry_Synthesis_Purification_MS due to concentrator keyword; protocol is an enzyme activity/kinetics assay.
choi_dmf_tsh_immunoassay,ELISA_Immunoassay,content_verified_audit,
clelland_pcr_ddpcr,PCR_NucleicAcid,content_verified_audit,
deng2025_d2_droplet_digital_recovery,Cell_Based_Assay,human_manual_validation,Verified via manual review round.
dettinger_2018_lsim_single_cell,Cell_Based_Assay,content_verified_audit,
droplet_volume_measurement_beads,Device_Fabrication_Protocol_Formalization,content_verified_audit,
fobel_paper_dmf_digital_microfluidics,Device_Fabrication_Protocol_Formalization,content_verified_audit,Automated classifier labeled Other; paper DMF device fabrication and characterization.
fuller_droplet_on_tape_dot,Device_Fabrication_Protocol_Formalization,content_verified_audit,
heinemann_uNIMS_enzyme_screening,Enzyme_Kinetics_Screening,content_verified_audit,Automated classifier labeled Extraction_Purification due to NIMS mass spec keywords; primary assay goal is functional enzyme activity screening.
hou_2015_dff_bacteremia,Antimicrobial_Susceptibility_Testing,content_verified_audit,Automated classifier labeled Oncology_Cell_Pathology due to 'bacteremia' keyword; actual protocol is rapid bacteremia isolation and antibiotic susceptibility testing.
hou_margination_pathogen_removal_blood,Extraction_Purification,content_verified_audit,Automated classifier labeled Other; blood pathogen separation and purification.
jebrail_combinatorial_peptidomimetics_dmf,Chemistry_Synthesis_Purification_MS,content_verified_audit,
jebrail_dmf_evaporation_mgmt,Device_Fabrication_Protocol_Formalization,content_verified_audit,
jebrail_dmf_protein_precipitation,Extraction_Purification,content_verified_audit,
jebrail_macrocycle_dmf,Chemistry_Synthesis_Purification_MS,content_verified_audit,
jebrail_world_to_dmf_rna_extraction,Extraction_Purification,content_verified_audit,
junkin_single_cell_immune_dynamics,Cell_Based_Assay,content_verified_audit,
junkin_tay_singlecell_immune,Cell_Based_Assay,content_verified_audit,
kellogg_microfluidic_singlecell_pipeline,Cell_Based_Assay,content_verified_audit,
kellogg_nfkb_digital_signaling,Cell_Based_Assay,content_verified_audit,
kellogg_nfkb_tlr_nonintegrative,Cell_Based_Assay,content_verified_audit,
khoo_ctc_liquid_biopsy_drug_screening,Oncology_Cell_Pathology,content_verified_audit,
khoo_ctc_microfluidic_cluster,Oncology_Cell_Pathology,content_verified_audit,
kim2013_ngs_library_prep_dmf,PCR_NucleicAcid,content_verified_audit,
kim_icp_multistage_brine_desalination,Chemistry_Synthesis_Purification_MS,content_verified_audit,
kim_immunomodulator_hts,Chemistry_Synthesis_Purification_MS,content_verified_audit,
ko_multiplexed_nanofluidic_concentration_immunoassay,ELISA_Immunoassay,content_verified_audit,
kwak_icp_continuous_flow_concentrator,Chemistry_Synthesis_Purification_MS,content_verified_audit,
kwon_microfluidic_cell_retention_perfusion,Cell_Based_Assay,content_verified_audit,
lafreniere_attractive_design_dmf_spe,Extraction_Purification,content_verified_audit,
lee_nafion_proteomic_preconcentrator,Chemistry_Synthesis_Purification_MS,content_verified_audit,
lin2019_udpla_single_cell_protein_mrna,RNA_Sequencing_Epigenomics,content_verified_audit,Automated classifier labeled Cell_Based_Assay; primary assay technique is proximity ligation single-cell transcript/protein digital profiling.
matthews_organoid_organoid_id,Cell_Based_Assay,content_verified_audit,
mei_dmf_plasma_protein_depletion,Extraction_Purification,content_verified_audit,
mercadovasquez_ultrashort_macrophage_nfkb,Cell_Based_Assay,content_verified_audit,
miller_dmf_immunoassay,ELISA_Immunoassay,content_verified_audit,
mousa_dmf_estrogen_extraction,Extraction_Purification,content_verified_audit,
ng2012_dmf_immunoassay,ELISA_Immunoassay,content_verified_audit,
ng2015_DISC_dmf,Cell_Based_Assay,content_verified_audit,Automated classifier labeled RNA_Sequencing_Epigenomics due to DISC keyword; protocol is single-cell immunocytochemistry/fluorescence microscopy.
ng2015_dmf_rubella_immunoassay,ELISA_Immunoassay,content_verified_audit,
ng_dmf_immunoassay_disc,ELISA_Immunoassay,content_verified_audit,
northen_nims_mass_spectrometry,Chemistry_Synthesis_Purification_MS,content_verified_audit,
patel_dropgenie_dmf_crispr_screen,Synthetic_Biology_Genetic_Engineering,content_verified_audit,Automated classifier labeled CRISPR_Based_Diagnostics; protocol is cellular CRISPR genome editing / knockout screening.
patel_nfkb_computer_vision_single_cell,Cell_Based_Assay,content_verified_audit,
phan_fdseq_pfa_scrna,RNA_Sequencing_Epigenomics,content_verified_audit,Automated classifier labeled PCR_NucleicAcid; core assay is single-cell RNA sequencing (scRNA-seq).
ramshani_ev_mirna_integrated_microfluidics,RNA_Sequencing_Epigenomics,content_verified_audit,
sarkar_microfluidic_probe_singlecell_analysis,Cell_Based_Assay,content_verified_audit,
schuster_organoid_drug_screening,Cell_Based_Assay,content_verified_audit,
schwarz_chemokine_migration_microfluidics,Cell_Based_Assay,content_verified_audit,Automated classifier labeled Chemistry_Synthesis_Purification_MS; protocol is a cell-based chemotaxis / migration assay.
shamsi_dmf_ecl_mirna,RNA_Sequencing_Epigenomics,content_verified_audit,
smitha_pillai_scadpl_breast_cancer,Oncology_Cell_Pathology,content_verified_audit,
son2023_coculture_spatiotemporal,Cell_Based_Assay,content_verified_audit,
son_nfkb_dose_differentiation,Cell_Based_Assay,content_verified_audit,
son_nfkb_stimulus_dynamics,Cell_Based_Assay,content_verified_audit,
son_spatiotemporal_nfkb_microfluidics,Cell_Based_Assay,content_verified_audit,
tay_nfkb_signaling_dynamic_range,Cell_Based_Assay,content_verified_audit,
vc0005_aav_ddpcr_quantification,PCR_NucleicAcid,content_verified_audit,
venturelli_gut_microbiome_glv,Cell_Based_Assay,content_verified_audit,
vistain_proxseq_10x,RNA_Sequencing_Epigenomics,content_verified_audit,
vistain_proxseq_nature_methods_2022,RNA_Sequencing_Epigenomics,content_verified_audit,
wang2025_macrophage_memory,Cell_Based_Assay,content_verified_audit,
wang_2d_ief_cge_protein_separation,Chemistry_Synthesis_Purification_MS,content_verified_audit,
wang_nfkb_sequential_stimulation,Cell_Based_Assay,content_verified_audit,
wang_sproxseq_germinal_center,RNA_Sequencing_Epigenomics,content_verified_audit,
warkiani_malaria_inertial_microfluidics,Oncology_Cell_Pathology,content_verified_audit,
warkiani_membraneless_microfiltration,Extraction_Purification,content_verified_audit,
warkiani_spiral_ctc_enrichment,Oncology_Cell_Pathology,content_verified_audit,
warkiani_spiral_ctc_isolation,Oncology_Cell_Pathology,content_verified_audit,
watson_multilayer_hybrid_microfluidics_dmf,Device_Fabrication_Protocol_Formalization,content_verified_audit,
watterson_anaerobic_droplet_cultivation,Antimicrobial_Susceptibility_Testing,content_verified_audit,Automated classifier labeled Other; droplet cultivation and antibiotic resistance screening.
watterson_anaerobic_droplet_gut_microbiome,Cell_Based_Assay,content_verified_audit,
xia_proxseq_computational_prediction,RNA_Sequencing_Epigenomics,content_verified_audit,
xie_droplet_paired_tag,RNA_Sequencing_Epigenomics,content_verified_audit,
yang_2011_dmf_spe_ppm,Extraction_Purification,content_verified_audit,
yin2020_denv_multiplexed_pcr,PCR_NucleicAcid,content_verified_audit,
zhou_mcf7_deformability_impedance,Oncology_Cell_Pathology,content_verified_audit,
