folder_name,automated_category,content_verified_category,match_yn,evidence_snippet,notes
DNA_Ligation,PCR_NucleicAcid,Synthetic_Biology_Genetic_Engineering,N,Protocol assembles recombinant DNA fragments via enzymatic T4 DNA ligation for molecular cloning.,Automated classifier labeled PCR_NucleicAcid; DNA fragment ligation is core synthetic biology / molecular cloning.
DNA_Methylomes,RNA_Sequencing_Epigenomics,RNA_Sequencing_Epigenomics,Y,Protocol processes single-cell genomic DNA for whole-genome bisulfite and methylation sequencing.,
Detection_of_Cardiac_Markers,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs on-chip magnetic bead-based sandwich immunoassay for cardiac troponin and biomarker detection.,
Determination_of_Anthocyanin_Content,Phytochemical_Colorimetric_Assay,Phytochemical_Colorimetric_Assay,Y,Protocol determines total anthocyanin content in plant extracts via the pH differential spectrophotometric method.,
Determination_of_Flavonoid_Content,Phytochemical_Colorimetric_Assay,Phytochemical_Colorimetric_Assay,Y,Protocol performs spectrophotometric quantification of total flavonoid concentration in botanical tissue extracts.,
Diazepam,Small_Molecule_Drug,ELISA_Immunoassay,N,Protocol runs a competitive enzyme immunoassay for quantitative screening of diazepam in biological fluids.,Automated classifier labeled Small_Molecule_Drug; the actual wet-lab protocol executed is a competitive ELISA.
Digital_Eloha,Other,ELISA_Immunoassay,N,Protocol executes a digital enzyme-linked oligonucleotide hybridization assay (ELOHA) for single-molecule protein and nucleic acid counting without PCR amplification.,Enzyme-linked hybridization sandwich assay; classified under ELISA_Immunoassay based on enzyme-linked optical detection mechanism.
Digital_Isothermal_Cas13a_Assay,CRISPR_Based_Diagnostics,CRISPR_Based_Diagnostics,Y,Protocol performs single-molecule digital compartmentalized Cas13a cleavage assays for absolute quantification of viral RNA targets.,
Direct_elisa,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol immobilizes antigen directly onto a solid support and detects binding using an enzyme-conjugated primary antibody.,
Distance_Based_Detection_Nucleic_Acid,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol performs isothermal RT-LAMP amplification of SARS-CoV-2 viral RNA on digital microfluidics with visual distance-based readout.,Automated classifier labeled Clinical_Diagnostics_Newborn_Screening; primary assay technique is isothermal nucleic acid amplification (RT-LAMP).
Droplet_Antibiotic_MIC_Screen,Antimicrobial_Susceptibility_Testing,Antimicrobial_Susceptibility_Testing,Y,Protocol screens single-cell bacterial growth across antibiotic dilution gradients in microdroplets to determine minimum inhibitory concentration.,
Droplet_Scale_Estrogen,Small_Molecule_Drug,ELISA_Immunoassay,N,Protocol performs droplet-scale liquid extraction followed by enzyme-linked immunoassay quantification of estrogen from breast tissue homogenates.,
EWOD_In_Vitro_Manipulation,Device_Fabrication_Protocol_Formalization,Cell_Based_Assay,N,"Protocol performs automated culture, in vitro maturation, fertilization, and manipulation of live bovine embryos on an electrowetting device.",
Electrowetting_Realtime_Taqman_PCR,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol conducts real-time fluorogenic TaqMan PCR on electrowetting digital microfluidics for human SNP allelic discrimination.,
Entrap_Conjugation,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,Protocol performs high-throughput conjugative plasmid transfer between bacterial donor and recipient strains in microfluidic droplets.,
Enzymatic_Assay,Enzyme_Kinetics_Screening,Enzyme_Kinetics_Screening,Y,Protocol monitors alkaline phosphatase enzymatic reaction kinetics and substrate conversion over continuous time on DMF.,
Estimation_of_Ascorbic_Acid_Content,Phytochemical_Colorimetric_Assay,Phytochemical_Colorimetric_Assay,Y,"Protocol titrates plant tissue extracts with 2,6-dichloroindophenol dye to quantify ascorbic acid (vitamin C) content.",
Estimation_of_DPPH_Free_Radical_Scavenging_Activity,Phytochemical_Colorimetric_Assay,Phytochemical_Colorimetric_Assay,Y,"Protocol measures antioxidant radical scavenging capacity using the 2,2-diphenyl-1-picrylhydrazyl (DPPH) spectrophotometric assay.",
Estimation_of_Hydrogen_Peroxide,Phytochemical_Colorimetric_Assay,Phytochemical_Colorimetric_Assay,Y,Protocol quantifies hydrogen peroxide accumulation in leaf tissue homogenates using potassium iodide spectrophotometry.,
Estimation_of_Lipid_Peroxides,Phytochemical_Colorimetric_Assay,Phytochemical_Colorimetric_Assay,Y,Protocol assesses lipid peroxidation in biological tissues via the thiobarbituric acid reactive substances (TBARS) colorimetric assay.,
Estimation_of_Total_Phenolic_Content,Phytochemical_Colorimetric_Assay,Phytochemical_Colorimetric_Assay,Y,Protocol quantifies total phenolic compounds in plant extracts using the Folin-Ciocalteu colorimetric reagent.,
Estimation_of_Total_Soluble_Sugar,Phytochemical_Colorimetric_Assay,Phytochemical_Colorimetric_Assay,Y,Protocol measures total soluble carbohydrate content in botanical samples using the anthrone-sulfuric acid colorimetric method.,
Estradiol,Small_Molecule_Drug,ELISA_Immunoassay,N,Protocol performs magnetic bead-based chemiluminescent immunoassay for 17beta-estradiol quantification from biopsy extracts.,Automated classifier labeled Small_Molecule_Drug; protocol is an on-chip chemiluminescent immunoassay.
Exact2_TCA_Incubate,Other,Device_Fabrication_Protocol_Formalization,N,Protocol formalizes a trichloroacetic acid incubation procedure into machine-readable EXACT2 ontological operational primitives.,Automated classifier labeled Other; formalized protocol representation.
Exact_Yeast_Competent_Cells,Synthetic_Biology_Genetic_Engineering,Device_Fabrication_Protocol_Formalization,N,Protocol specifies an EXACT-ontology structured protocol for yeast culture growth and competent cell preparation.,Automated classifier labeled Synthetic_Biology_Genetic_Engineering; primary document nature is ontology-formalized procedure.
FDG_Radiosynthesis_ofat,Other,Chemistry_Synthesis_Purification_MS,N,"Protocol executes digital microfluidic radiochemical synthesis, drying, radiofluorination, and basic hydrolysis of 18F-FDG.",Automated classifier labeled Other; radiochemical synthesis.
Fentanyl,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs a competitive enzyme immunoassay with colorimetric readout to detect fentanyl in toxicology samples.,
Flexible_Transparent_Fabrication,Device_Fabrication_Protocol_Formalization,Device_Fabrication_Protocol_Formalization,Y,"Protocol details the microfabrication, lithography, thin-film coating, and characterization of flexible transparent EWOD chips.",
Fucosylation_Inhibition_DMF,Chemistry_Synthesis_Purification_MS,Enzyme_Kinetics_Screening,N,Protocol carries out a fucosyltransferase enzyme inhibition screening assay on digital microfluidics using fluorescence image analysis.,Automated classifier labeled Chemistry_Synthesis_Purification_MS due to fucosylation keyword; protocol is an enzyme inhibition screening assay.
Glucose_Assay,Small_Molecule_Drug,Phytochemical_Colorimetric_Assay,N,Protocol quantifies glucose concentrations using the enzymatic glucose oxidase-peroxidase colorimetric chromogen method.,
Glucose_Detection,Small_Molecule_Drug,Phytochemical_Colorimetric_Assay,N,Protocol performs colorimetric glucose quantification via enzymatic oxidation and optical density measurement.,
Glycosylation,Chemistry_Synthesis_Purification_MS,Chemistry_Synthesis_Purification_MS,Y,Protocol carries out multi-step on-chip enzymatic and chemical derivatization of protein glycans for mass spectrometry characterization.,
Hemagglutination,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs viral hemagglutination and antibody-mediated hemagglutination inhibition serological assays.,
Hepatotoxicity,Clinical_Diagnostics_Newborn_Screening,Cell_Based_Assay,N,Protocol assays drug-induced hepatotoxicity in primary cultured hepatocytes by measuring cell viability and metabolic lactate dehydrogenase release.,Automated classifier labeled Clinical_Diagnostics_Newborn_Screening due to keyword; actual protocol is a cell-based cytotoxicity screen.
Heroin,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs competitive enzyme immunoassay screening for heroin metabolites (6-MAM) in forensic specimens.,
Human_Physiological_Fluids,Clinical_Diagnostics_Newborn_Screening,Extraction_Purification,N,"Protocol separates and purifies diagnostic biomarkers and metabolites from human urine, serum, and plasma on DMF.",
Human_Plasma_Protein_Depletion,Extraction_Purification,Extraction_Purification,Y,Protocol performs immunoaffinity depletion of high-abundance albumin and IgG proteins from human plasma prior to proteomic analysis.,
Husser_AIMS_Induction_BGL_SynBio,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,Protocol operates an automated induction microfluidics system to culture engineered bacterial strains and induce recombinant enzyme expression with IPTG.,
Immunocytochemistry_Single_Cells,Cell_Based_Assay,Cell_Based_Assay,Y,"Protocol fixes, permeabilizes, and immunostains adherent single cells on digital microfluidics for high-content fluorescence microscopy.",
Immunoprecipitation,Immunoprecipitation,Immunoprecipitation,Y,Protocol isolates specific target antigen-protein complexes using antibody-coupled magnetic beads and sequential wash steps.,
Indirect_elisa,ELISA_Immunoassay,ELISA_Immunoassay,Y,"Protocol coats plates with antigen, binds primary unlabeled antibody, and quantifies binding using an enzyme-conjugated secondary antibody.",
Integrated_Mfselex,Aptamer_Selection_SELEX,Aptamer_Selection_SELEX,Y,Protocol executes iterative rounds of microfluidic SELEX partitioning and PCR amplification to select target-binding DNA aptamers.,
Jebrail_DMF_Proteomic_Processing,Omics_Proteomics,Omics_Proteomics,Y,"Protocol automates multistep proteomic sample preparation (reduction, alkylation, and tryptic digest) on a digital microfluidic device for mass spectrometry.",
Leal_Alves_Multiplex_Sorter_Strain_Development,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,Protocol screens and sorts high-producing engineered bacterial strains in microfluidic droplets for synthetic biology strain development.,
Lengen_Lentiviral,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,"Protocol produces, concentrates, and transduces lentiviral gene-delivery vectors into target mammalian host cells on-chip.",
Loop_Mediated_Isothermal_Amplification,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol performs isothermal LAMP amplification with fluorescent calcein detection of target pathogen DNA.,
Lysosomal_Storage_Disease,Clinical_Diagnostics_Newborn_Screening,Clinical_Diagnostics_Newborn_Screening,Y,Protocol extracts dried blood spots on DMF to measure lysosomal enzymatic activities for clinical diagnosis of metabolic storage disorders.,
Mage_Electrotransformation,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,Protocol delivers synthetic oligodeoxynucleotides to E. coli via on-chip electroporation for iterative multiplex genome editing.,
Mammalian_Cell_Culture_Platform,Cell_Based_Assay,Cell_Based_Assay,Y,"Protocol automates mammalian cell seeding, attachment, media perfusion, trypsinization, and splitting on a digital microfluidic platform.",
Maximize_Diagnostic_Tests,Clinical_Diagnostics_Newborn_Screening,Clinical_Diagnostics_Newborn_Screening,Y,Protocol implements automated extraction and multi-analyte clinical screening from newborn dried blood spot specimens.,
Microbial_Electroporation,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,Protocol introduces recombinant plasmid vectors into electrocompetent bacterial cells using high-voltage microfluidic electroporation.,
Minute_Mammalian_Tissue,Omics_Proteomics,Omics_Proteomics,Y,Protocol performs microproteomic sample preparation from sub-milligram tissue biopsies using on-chip surfactant-assisted tryptic digestion.,
Moazami_World_to_Chip_DMF,Device_Fabrication_Protocol_Formalization,Device_Fabrication_Protocol_Formalization,Y,Protocol fabricates and characterizes a macro-to-micro fluidic interface enabling continuous reagent delivery onto digital microfluidics.,
Mobile_uMD_Duplex_dELISA,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol conducts multiplexed digital droplet ELISA on a portable miniaturized fluorescence detector for point-of-care biomarker quantification.,
Morphine,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol carries out competitive enzyme immunoassay on microplates for quantitative detection of morphine in forensic samples.,
Mselex_Aptamer_Selection,Aptamer_Selection_SELEX,Aptamer_Selection_SELEX,Y,Protocol executes microfluidic SELEX rounds to enrich DNA aptamer pools binding specifically to target protein biomarkers.,
Multiplex_Newborn_Screening,Clinical_Diagnostics_Newborn_Screening,Clinical_Diagnostics_Newborn_Screening,Y,Protocol measures 5 lysosomal enzyme activities simultaneously from a single dried blood spot punch on a digital microfluidic platform.,
NADH_Oxidoreductase,Omics_Proteomics,Enzyme_Kinetics_Screening,N,Protocol measures the catalytic rate and kinetic parameters of NADH-dependent oxidoreductase via spectrophotometric absorbance decay.,Automated classifier labeled Omics_Proteomics; actual assay is a continuous spectrophotometric enzyme kinetics assay.
Nance_Horan_Syndrome,Cell_Based_Assay,RNA_Sequencing_Epigenomics,N,Protocol isolates individual single cells from stroke-injured brain slice tissue using tDISCO for spatial single-cell RNA sequencing.,Automated classifier labeled Cell_Based_Assay; core workflow is spatial single-cell transcriptomic profiling.
Nucleic_Acid_Amplification,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol generates nano-liter droplet arrays on a hybrid microfluidic device and performs on-demand LAMP nucleic acid amplification.,
Nucleic_Acid_Diagnostics,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol executes RT-LAMP amplification on digital microfluidics with distance-based visual readout for SARS-CoV-2 RNA detection.,
Nucleosome_Immunoprecipitation,Immunoprecipitation,Immunoprecipitation,Y,Protocol pulls down intact mono- and poly-nucleosomes from sheared chromatin using antibody-conjugated superparamagnetic beads.,
Omics,Cell_Based_Assay,RNA_Sequencing_Epigenomics,N,Protocol isolates single cells from adherent cultures using digital microfluidics (DISCO) and prepares full-length cDNA for single-cell RNA-seq.,Automated classifier labeled Cell_Based_Assay; core workflow is single-cell RNA sequencing library construction.
Oxycodone,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs competitive ELISA for quantitative toxicological detection of oxycodone in biological matrices.,
PCR,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol synthesizes cDNA from RNA templates and performs real-time quantitative PCR amplification.,
Particle_Based_Immunoassays,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol executes multi-analyte magnetic particle immunoassay on digital microfluidics for hormones and thyroid markers.,
Peptidisc_MSBA,Other,Enzyme_Kinetics_Screening,N,Protocol reconstitutes membrane protein ABC transporter MsbA in peptidiscs and quantifies ATPase enzymatic activity via malachite green.,Automated classifier labeled Other; enzyme kinetics / ATPase activity assay.
Picoliter_DNA_Sequencing,Device_Fabrication_Protocol_Formalization,PCR_NucleicAcid,N,Protocol conducts picoliter electrowetting pyrosequencing by sequential nucleotide dispensing and real-time bioluminescent detection.,
Picoliter_Droplet_Manipulation,Device_Fabrication_Protocol_Formalization,Device_Fabrication_Protocol_Formalization,Y,"Protocol tests and characterizes picoliter droplet generation, splitting, and transport across high-resolution electrowetting electrode chips.",
Pipette_DDPCR,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol generates droplet emulsions using a handheld kit and performs droplet digital PCR for absolute nucleic acid quantification.,
Plasma_Metabolomics,Omics_Proteomics,Chemistry_Synthesis_Purification_MS,N,Protocol performs on-chip extraction of plasma metabolites followed by two-step chemical methoximation and silylation derivatization for GC-TOFMS.,Automated classifier labeled Omics_Proteomics; protocol is chemical derivatization and mass spectrometry preparation.
Point_Care_Testing,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol executes magnetic bead sandwich ELISA for human insulin and IL-6 cytokines on an automated digital microfluidic platform.,
Porous_Polymer_Monoliths,Extraction_Purification,Extraction_Purification,Y,Protocol fabricates in situ porous polymer monolith solid phases within digital microfluidic chips for solid-phase extraction of peptides.,
Protein_Extraction_Precipitation,Extraction_Purification,Extraction_Purification,Y,"Protocol precipitates protein droplets on DMF with organic solvents, washes the pellet, and resolubilizes pure protein for quantification.",
Protein_Maldi_Stamping,Omics_Proteomics,Omics_Proteomics,Y,Protocol transports proteomic droplets via electrowetting and stamps sample microarrays for high-throughput MALDI mass spectrometry.,
Proteomic_Processing,Omics_Proteomics,Omics_Proteomics,Y,"Protocol automates protein reduction with DTT, alkylation with iodoacetamide, and tryptic digestion on DMF for shotgun proteomics.",
Pyrosequencing,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol performs sequencing-by-synthesis on bead-bound DNA with luciferase-coupled optical monitoring of dNTP incorporation.,
Respiratory_RTQPCR,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol performs multiplex real-time RT-PCR for simultaneous differential detection of multiple viral respiratory pathogens.,
Rubella_Infection_Detection,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs on-chip magnetic bead ELISA to detect rubella virus-specific IgG and IgM antibodies in human serum.,
SARS_Cov2_QPCR,Clinical_Diagnostics_Newborn_Screening,PCR_NucleicAcid,N,Protocol performs quantitative reverse transcription PCR for the detection of SARS-CoV-2 viral RNA sequences.,Automated classifier labeled Clinical_Diagnostics_Newborn_Screening; primary assay technique is RT-qPCR.
Samlali_Hybrid_Microfluidics_Isoclone,Chemistry_Synthesis_Purification_MS,Synthetic_Biology_Genetic_Engineering,N,"Protocol encapsulates single hybridoma cells in microdroplets, screens for antibody secretion, and recovers isogenic monoclonals for cell line engineering.",Automated classifier labeled Chemistry_Synthesis_Purification_MS; protocol is single-cell clonal cell line development.
Sandwich_elisa,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol binds target protein between capture and detection antibodies on a solid microplate with enzymatic substrate conversion.,
Shih_Algae_Lipid_DMF_Screen,Other,Extraction_Purification,N,"Protocol lyses microalgae, extracts neutral lipid droplets on DMF, and quantifies lipid content using Nile Red fluorometry.",Automated classifier labeled Other; lipid extraction and fluorometric screening.
Shih_DBS_DMF_Nesi_MS,Other,Clinical_Diagnostics_Newborn_Screening,N,Protocol extracts dried blood spots on DMF and directly interfaces with nanoelectrospray mass spectrometry for newborn metabolic screening.,Automated classifier labeled Other; newborn screening.
Shih_DMF_Cell_Impedance_Sensing,Aerosol_Environmental,Cell_Based_Assay,N,"Protocol measures real-time electric cell-substrate impedance to monitor live cell attachment, growth, and toxic response on DMF.",Automated classifier labeled Aerosol_Environmental due to 'sensing' keyword; actual assay is a cell-based impedance assay.
Shih_Versatile_DMF_Synbio,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,"Protocol automates multi-part Golden Gate DNA assembly, transformation into competent cells, and outgrowth on digital microfluidics.",
Single_Cell_Analysis_and_Sorting,Cell_Based_Assay,Cell_Based_Assay,Y,"Protocol encapsulates single mammalian cells in picoliter droplets, screens fluorescence markers, and sorts target cell populations.",
Single_Molecule_Array_Assay,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs digital ELISA on single paramagnetic beads trapped in femtoliter microwell arrays for ultra-sensitive biomarker counting.,
TNT_Explosive_Detection,Clinical_Diagnostics_Newborn_Screening,Clinical_Diagnostics_Newborn_Screening,Y,Protocol detects trinitrotoluene residues on microfluidic test cards using colorimetric hydroxide Meisenheimer complex formation.,
TSH_Immunoassay,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs magnetic bead sandwich enzyme immunoassay for clinical quantification of thyroid-stimulating hormone.,
Titration_Open_Surface,Dilution,Dilution,Y,"Protocol performs automated open-surface droplet dispensing, serial volumetric mixing, and acid-base indicator titration.",
TriDrop_Electroporation,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,Protocol co-encapsulates cells and genetic plasmid DNA in three-phase droplets for high-efficiency flow-through electroporation.,
Tridrop_Transfection,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,Protocol executes microfluidic droplet-mediated delivery of exogenous DNA constructs into mammalian cell lines.,
XPORT_ENTRAP,Synthetic_Biology_Genetic_Engineering,Synthetic_Biology_Genetic_Engineering,Y,Protocol performs high-throughput conjugative plasmid transfer between Bacillus subtilis donor and recipient cells in microfluidic droplets.,
Zika_Virus_Diagnostic,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol performs isothermal RT-LAMP amplification for rapid diagnostic detection of Zika virus RNA in clinical samples.,
abasiyanik2021_sars_cov2_saliva_detection,Clinical_Diagnostics_Newborn_Screening,PCR_NucleicAcid,N,Protocol performs digital proximity ligation assay with RT-ddPCR readout for ultrasensitive quantification of SARS-CoV-2 viral antigen and RNA in saliva.,
abasiyanik_dpla_ddpcr_septic_shock,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol performs digital proximity ligation assays coupled to droplet digital PCR to quantify bacterial load and inflammatory cytokines in septic shock.,
ahmadi_2024_mab_discovery,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol screens single B-cells encapsulated in microfluidic droplets for antigen-specific monoclonal antibody secretion and affinity binding.,
albayrak_digital_pla_rtddpcr,PCR_NucleicAcid,RNA_Sequencing_Epigenomics,N,Protocol performs single-cell digital proximity ligation assays and reverse transcription droplet digital PCR to simultaneously quantify protein and mRNA abundance.,
bell_sperm_seq_library_generation,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol prepares single-cell sequencing libraries from individual human sperm cells using droplet microfluidic barcoding and PCR amplification.,
chen_concentrator_droplet_mmp_assay,Chemistry_Synthesis_Purification_MS,Enzyme_Kinetics_Screening,N,Protocol concentrates matrix metalloproteinase enzymes in microdroplets using ion concentration polarization to measure protease enzymatic cleavage kinetics.,Automated classifier labeled Chemistry_Synthesis_Purification_MS due to concentrator keyword; protocol is an enzyme activity/kinetics assay.
choi_dmf_tsh_immunoassay,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs an automated magnetic bead-based sandwich ELISA for thyroid-stimulating hormone on a digital microfluidic chip.,
clelland_pcr_ddpcr,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol executes standard end-point PCR thermal cycling followed by droplet digital PCR partitioning and amplification.,
deng2025_d2_droplet_digital_recovery,Cell_Based_Assay,Cell_Based_Assay,Y,"Protocol encapsulates single cells in droplets, performs phenotypic screening, and selectively recovers viable target cells via digital microfluidics.",
dettinger_2018_lsim_single_cell,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol tracks live single cells in microfluidic chambers under dynamic computer-controlled chemical stimulation profiles.,
droplet_volume_measurement_beads,Device_Fabrication_Protocol_Formalization,Device_Fabrication_Protocol_Formalization,Y,Protocol measures and calibrates microfluidic droplet generation volumes by counting encapsulated reference fluorescent microspheres.,
fobel_paper_dmf_digital_microfluidics,Other,Device_Fabrication_Protocol_Formalization,N,"Protocol fabricates, prints, and validates paper-based digital microfluidic devices using inkjet-printed conductive ink electrodes.",Automated classifier labeled Other; paper DMF device fabrication and characterization.
fuller_droplet_on_tape_dot,Device_Fabrication_Protocol_Formalization,Device_Fabrication_Protocol_Formalization,Y,"Protocol establishes a droplet-on-tape microfluidic platform for transporting, mixing, and processing discrete reaction droplets on flexible tape.",
heinemann_uNIMS_enzyme_screening,Enzyme_Kinetics_Screening,Enzyme_Kinetics_Screening,Y,Protocol incubates enzyme-substrate droplets on-chip and transfers reaction products to nanostructure-initiator mass spectrometry surfaces for rapid kinetic screening.,Automated classifier labeled Extraction_Purification due to NIMS mass spec keywords; primary assay goal is functional enzyme activity screening.
