folder_name,new_category,old_category,source,notes
Flexible_Transparent_Fabrication,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,
Fucosylation_Inhibition_DMF,Enzyme_Assay,Enzyme_Kinetics_Screening,content_verified_audit,Automated classifier labeled Chemistry_Synthesis_Purification_MS due to fucosylation keyword; protocol is an enzyme inhibition screening assay.
Glucose_Assay,Colorimetric_Biochemical_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Glucose_Detection,Colorimetric_Biochemical_Assay,Phytochemical_Colorimetric_Assay,content_verified_audit,
Glycosylation,Other,Other,human_manual_validation,"Confirmed genuinely uncategorizable — cell-free biosynthesis platform, not an assay."
Hemagglutination,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Hepatotoxicity,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,Automated classifier labeled Clinical_Diagnostics_Newborn_Screening due to keyword; actual protocol is a cell-based cytotoxicity screen.
Heroin,Immunoassay,ELISA_Immunoassay,human_manual_validation,Competitive ELISA; verified via manual review round.
Human_Physiological_Fluids,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
Human_Plasma_Protein_Depletion,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
Husser_AIMS_Induction_BGL_SynBio,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Immunocytochemistry_Single_Cells,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
Immunoprecipitation,Immunoassay,Immunoprecipitation,content_verified_audit,
Indirect_elisa,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Integrated_Mfselex,Nucleic_Acid_Assay,Aptamer_Selection_SELEX,content_verified_audit,
Jebrail_DMF_Proteomic_Processing,Omics_Sequencing_Assay,Omics_Proteomics,content_verified_audit,
Leal_Alves_Multiplex_Sorter_Strain_Development,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Lengen_Lentiviral,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Loop_Mediated_Isothermal_Amplification,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
Lysosomal_Storage_Disease,Clinical_Diagnostic_Assay,Clinical_Diagnostics_Newborn_Screening,content_verified_audit,
Mage_Electrotransformation,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Mammalian_Cell_Culture_Platform,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
Maximize_Diagnostic_Tests,Clinical_Diagnostic_Assay,Clinical_Diagnostics_Newborn_Screening,content_verified_audit,
Microbial_Electroporation,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Minute_Mammalian_Tissue,Omics_Sequencing_Assay,Omics_Proteomics,content_verified_audit,
Moazami_World_to_Chip_DMF,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,
Mobile_uMD_Duplex_dELISA,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Morphine,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Mselex_Aptamer_Selection,Nucleic_Acid_Assay,Aptamer_Selection_SELEX,content_verified_audit,
Multiplex_Newborn_Screening,Clinical_Diagnostic_Assay,Clinical_Diagnostics_Newborn_Screening,content_verified_audit,
NADH_Oxidoreductase,Enzyme_Assay,Enzyme_Kinetics_Screening,content_verified_audit,Automated classifier labeled Omics_Proteomics; actual assay is a continuous spectrophotometric enzyme kinetics assay.
Nance_Horan_Syndrome,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,Automated classifier labeled Cell_Based_Assay; core workflow is spatial single-cell transcriptomic profiling.
Nucleic_Acid_Amplification,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
Nucleic_Acid_Diagnostics,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
Nucleosome_Immunoprecipitation,Immunoassay,Immunoprecipitation,content_verified_audit,
Omics,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,Automated classifier labeled Cell_Based_Assay; core workflow is single-cell RNA sequencing library construction.
Oxycodone,Immunoassay,ELISA_Immunoassay,content_verified_audit,
PCR,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
Particle_Based_Immunoassays,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Peptidisc_MSBA,Enzyme_Assay,Enzyme_Kinetics_Screening,content_verified_audit,Automated classifier labeled Other; enzyme kinetics / ATPase activity assay.
Picoliter_DNA_Sequencing,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
Picoliter_Droplet_Manipulation,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,
Pipette_DDPCR,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
Plasma_Metabolomics,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,content_verified_audit,Automated classifier labeled Omics_Proteomics; protocol is chemical derivatization and mass spectrometry preparation.
Point_Care_Testing,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Porous_Polymer_Monoliths,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
Protein_Extraction_Precipitation,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
Protein_Maldi_Stamping,Omics_Sequencing_Assay,Omics_Proteomics,content_verified_audit,
Proteomic_Processing,Omics_Sequencing_Assay,Omics_Proteomics,content_verified_audit,
Pyrosequencing,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
Respiratory_RTQPCR,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
Rubella_Infection_Detection,Immunoassay,ELISA_Immunoassay,content_verified_audit,
SARS_Cov2_QPCR,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,Automated classifier labeled Clinical_Diagnostics_Newborn_Screening; primary assay technique is RT-qPCR.
Samlali_Hybrid_Microfluidics_Isoclone,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,Automated classifier labeled Chemistry_Synthesis_Purification_MS; protocol is single-cell clonal cell line development.
Sandwich_elisa,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Shih_Algae_Lipid_DMF_Screen,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,Automated classifier labeled Other; lipid extraction and fluorometric screening.
Shih_DBS_DMF_Nesi_MS,Clinical_Diagnostic_Assay,Clinical_Diagnostics_Newborn_Screening,content_verified_audit,Automated classifier labeled Other; newborn screening.
Shih_DMF_Cell_Impedance_Sensing,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,Automated classifier labeled Aerosol_Environmental due to 'sensing' keyword; actual assay is a cell-based impedance assay.
Shih_Versatile_DMF_Synbio,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Single_Cell_Analysis_and_Sorting,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
Single_Molecule_Array_Assay,Immunoassay,ELISA_Immunoassay,content_verified_audit,
TNT_Explosive_Detection,Clinical_Diagnostic_Assay,Clinical_Diagnostics_Newborn_Screening,content_verified_audit,
TSH_Immunoassay,Immunoassay,ELISA_Immunoassay,content_verified_audit,
Titration_Open_Surface,Other,Dilution,content_verified_audit,
TriDrop_Electroporation,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Tridrop_Transfection,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
XPORT_ENTRAP,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,
Zika_Virus_Diagnostic,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
abasiyanik2021_sars_cov2_saliva_detection,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
abasiyanik_dpla_ddpcr_septic_shock,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
ahmadi_2024_mab_discovery,Cell_Based_Assay,Cell_Based_Assay,human_manual_validation,Verified via manual review round.
albayrak_digital_pla_rtddpcr,Nucleic_Acid_Assay,PCR_NucleicAcid,CONFLICT_NEEDS_HUMAN_DECISION,Human manual review: PCR_NucleicAcid; Content audit: RNA_Sequencing_Epigenomics.
bell_sperm_seq_library_generation,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
chen_concentrator_droplet_mmp_assay,Enzyme_Assay,Enzyme_Kinetics_Screening,content_verified_audit,Automated classifier labeled Chemistry_Synthesis_Purification_MS due to concentrator keyword; protocol is an enzyme activity/kinetics assay.
choi_dmf_tsh_immunoassay,Immunoassay,ELISA_Immunoassay,content_verified_audit,
clelland_pcr_ddpcr,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
deng2025_d2_droplet_digital_recovery,Cell_Based_Assay,Cell_Based_Assay,human_manual_validation,Verified via manual review round.
dettinger_2018_lsim_single_cell,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
droplet_volume_measurement_beads,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,
fobel_paper_dmf_digital_microfluidics,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,Automated classifier labeled Other; paper DMF device fabrication and characterization.
fuller_droplet_on_tape_dot,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,
heinemann_uNIMS_enzyme_screening,Enzyme_Assay,Enzyme_Kinetics_Screening,content_verified_audit,Automated classifier labeled Extraction_Purification due to NIMS mass spec keywords; primary assay goal is functional enzyme activity screening.
hou_2015_dff_bacteremia,Clinical_Diagnostic_Assay,Antimicrobial_Susceptibility_Testing,content_verified_audit,Automated classifier labeled Oncology_Cell_Pathology due to 'bacteremia' keyword; actual protocol is rapid bacteremia isolation and antibiotic susceptibility testing.
hou_margination_pathogen_removal_blood,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,Automated classifier labeled Other; blood pathogen separation and purification.
jebrail_combinatorial_peptidomimetics_dmf,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,content_verified_audit,
jebrail_dmf_evaporation_mgmt,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,
jebrail_dmf_protein_precipitation,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
jebrail_macrocycle_dmf,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,content_verified_audit,
jebrail_world_to_dmf_rna_extraction,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
junkin_single_cell_immune_dynamics,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
junkin_tay_singlecell_immune,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
kellogg_microfluidic_singlecell_pipeline,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
kellogg_nfkb_digital_signaling,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
kellogg_nfkb_tlr_nonintegrative,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
khoo_ctc_liquid_biopsy_drug_screening,Cell_Based_Assay,Oncology_Cell_Pathology,content_verified_audit,
khoo_ctc_microfluidic_cluster,Cell_Based_Assay,Oncology_Cell_Pathology,content_verified_audit,
kim2013_ngs_library_prep_dmf,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
kim_icp_multistage_brine_desalination,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,content_verified_audit,
kim_immunomodulator_hts,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,content_verified_audit,
ko_multiplexed_nanofluidic_concentration_immunoassay,Immunoassay,ELISA_Immunoassay,content_verified_audit,
kwak_icp_continuous_flow_concentrator,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,content_verified_audit,
kwon_microfluidic_cell_retention_perfusion,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
lafreniere_attractive_design_dmf_spe,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
lee_nafion_proteomic_preconcentrator,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,content_verified_audit,
lin2019_udpla_single_cell_protein_mrna,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,Automated classifier labeled Cell_Based_Assay; primary assay technique is proximity ligation single-cell transcript/protein digital profiling.
matthews_organoid_organoid_id,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
mei_dmf_plasma_protein_depletion,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
mercadovasquez_ultrashort_macrophage_nfkb,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
miller_dmf_immunoassay,Immunoassay,ELISA_Immunoassay,content_verified_audit,
mousa_dmf_estrogen_extraction,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
ng2012_dmf_immunoassay,Immunoassay,ELISA_Immunoassay,content_verified_audit,
ng2015_DISC_dmf,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,Automated classifier labeled RNA_Sequencing_Epigenomics due to DISC keyword; protocol is single-cell immunocytochemistry/fluorescence microscopy.
ng2015_dmf_rubella_immunoassay,Immunoassay,ELISA_Immunoassay,content_verified_audit,
ng_dmf_immunoassay_disc,Immunoassay,ELISA_Immunoassay,content_verified_audit,
northen_nims_mass_spectrometry,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,content_verified_audit,
patel_dropgenie_dmf_crispr_screen,Genetic_Engineering_Assay,Synthetic_Biology_Genetic_Engineering,content_verified_audit,Automated classifier labeled CRISPR_Based_Diagnostics; protocol is cellular CRISPR genome editing / knockout screening.
patel_nfkb_computer_vision_single_cell,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
phan_fdseq_pfa_scrna,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,Automated classifier labeled PCR_NucleicAcid; core assay is single-cell RNA sequencing (scRNA-seq).
ramshani_ev_mirna_integrated_microfluidics,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,
sarkar_microfluidic_probe_singlecell_analysis,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
schuster_organoid_drug_screening,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
schwarz_chemokine_migration_microfluidics,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,Automated classifier labeled Chemistry_Synthesis_Purification_MS; protocol is a cell-based chemotaxis / migration assay.
shamsi_dmf_ecl_mirna,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,
smitha_pillai_scadpl_breast_cancer,Cell_Based_Assay,Oncology_Cell_Pathology,content_verified_audit,
son2023_coculture_spatiotemporal,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
son_nfkb_dose_differentiation,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
son_nfkb_stimulus_dynamics,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
son_spatiotemporal_nfkb_microfluidics,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
tay_nfkb_signaling_dynamic_range,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
vc0005_aav_ddpcr_quantification,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
venturelli_gut_microbiome_glv,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
vistain_proxseq_10x,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,
vistain_proxseq_nature_methods_2022,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,
wang2025_macrophage_memory,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
wang_2d_ief_cge_protein_separation,Chemical_Synthesis_Assay,Chemistry_Synthesis_Purification_MS,content_verified_audit,
wang_nfkb_sequential_stimulation,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
wang_sproxseq_germinal_center,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,
warkiani_malaria_inertial_microfluidics,Cell_Based_Assay,Oncology_Cell_Pathology,content_verified_audit,
warkiani_membraneless_microfiltration,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
warkiani_spiral_ctc_enrichment,Cell_Based_Assay,Oncology_Cell_Pathology,content_verified_audit,
warkiani_spiral_ctc_isolation,Cell_Based_Assay,Oncology_Cell_Pathology,content_verified_audit,
watson_multilayer_hybrid_microfluidics_dmf,Device_Fabrication_Formalization,Device_Fabrication_Protocol_Formalization,content_verified_audit,
watterson_anaerobic_droplet_cultivation,Clinical_Diagnostic_Assay,Antimicrobial_Susceptibility_Testing,content_verified_audit,Automated classifier labeled Other; droplet cultivation and antibiotic resistance screening.
watterson_anaerobic_droplet_gut_microbiome,Cell_Based_Assay,Cell_Based_Assay,content_verified_audit,
xia_proxseq_computational_prediction,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,
xie_droplet_paired_tag,Omics_Sequencing_Assay,RNA_Sequencing_Epigenomics,content_verified_audit,
yang_2011_dmf_spe_ppm,Extraction_Sample_Prep_Assay,Extraction_Purification,content_verified_audit,
yin2020_denv_multiplexed_pcr,Nucleic_Acid_Assay,PCR_NucleicAcid,content_verified_audit,
zhou_mcf7_deformability_impedance,Cell_Based_Assay,Oncology_Cell_Pathology,content_verified_audit,
